pitch,roll,yaw,Ax,Ay,Az,timestamp
-0.8,-89.0,-0.4,-0.018,-1.002,+0.020,2017-08-21T00:00:01
-0.8,-88.9,+0.3,-0.017,-1.001,+0.021,2017-08-21T00:00:03
-0.9,-88.9,+0.5,-0.017,-1.002,+0.021,2017-08-21T00:00:05
-0.8,-89.0,+0.4,-0.016,-1.002,+0.020,2017-08-21T00:00:07
-0.9,-89.0,+0.0,-0.017,-1.001,+0.020,2017-08-21T00:00:09
-0.8,-89.1,-0.3,-0.016,-1.002,+0.017,2017-08-21T00:00:11
-0.8,-89.1,-0.2,-0.017,-1.002,+0.016,2017-08-21T00:00:13
-0.8,-89.1,-0.1,-0.016,-1.001,+0.019,2017-08-21T00:00:15
-0.8,-89.0,-0.1,-0.015,-1.002,+0.019,2017-08-21T00:00:17
-0.8,-89.0,-0.2,-0.015,-1.002,+0.019,2017-08-21T00:00:19
-0.8,-89.1,-0.2,-0.016,-1.001,+0.017,2017-08-21T00:00:21
-0.9,-89.1,+0.0,-0.017,-1.001,+0.018,2017-08-21T00:00:23
-0.9,-89.1,+0.2,-0.017,-1.001,+0.018,2017-08-21T00:00:26
-0.9,-89.1,+0.1,-0.016,-1.000,+0.019,2017-08-21T00:00:28
-0.8,-89.0,+0.1,-0.016,-1.001,+0.020,2017-08-21T00:00:30
-0.8,-89.0,+0.0,-0.017,-1.001,+0.020,2017-08-21T00:00:32
-0.9,-89.0,-0.0,-0.017,-1.000,+0.019,2017-08-21T00:00:34
-0.9,-89.0,+0.0,-0.016,-1.002,+0.019,2017-08-21T00:00:36
-0.8,-89.1,-0.2,-0.016,-1.002,+0.018,2017-08-21T00:00:38
-0.8,-89.0,-0.3,-0.016,-1.001,+0.018,2017-08-21T00:00:40
-0.8,-89.0,+0.1,-0.016,-1.001,+0.019,2017-08-21T00:00:42
-0.9,-88.9,+0.8,-0.017,-1.001,+0.022,2017-08-21T00:00:44
-0.9,-88.9,+1.0,-0.017,-1.001,+0.021,2017-08-21T00:00:46
-0.8,-88.9,+0.8,-0.018,-1.002,+0.021,2017-08-21T00:00:48
-0.9,-89.0,+0.2,-0.018,-1.002,+0.019,2017-08-21T00:00:50
-0.9,-89.0,-0.1,-0.017,-1.002,+0.017,2017-08-21T00:00:52
-0.8,-89.1,-0.0,-0.015,-1.001,+0.018,2017-08-21T00:00:54
-0.8,-89.1,-0.1,-0.017,-1.002,+0.017,2017-08-21T00:00:56
-0.8,-89.0,-0.1,-0.016,-1.002,+0.018,2017-08-21T00:00:58
